sample_id,station,core_code,meadow,total_pixels,seagrass_pixels,seagrass_cover_pct,circle_observed_pct,quality_flag,longitude,latitude,ndvi_mean,ndvi_sd,ndvi_n_pixels,ndvi_raster,spc_fitted
3NS,3,N,Stable,2576672,1592296,61.80000000,100.00000000,ok,-2.17166456,46.95973292,0.54006152,0.04545772,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,49.66454793
3NU,3,N,Unstable,2576679,799686,31.04000000,100.00000000,ok,-2.17946273,46.96164254,0.32818319,0.05769021,246,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,30.03881167
4AS,4,A,Stable,3651898,1466208,40.15000000,100.00000000,ok,-2.17181964,46.95964147,0.51622600,0.05390839,77,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,47.32708083
4AU,4,A,Unstable,5625579,1809658,32.17000000,100.00000000,ok,-2.17948881,46.96167572,0.43024883,0.06954396,251,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,39.06346143
4NS,4,N,Stable,3008861,1387695,46.12000000,100.00000000,ok,-2.17183497,46.95963084,0.45598854,0.03919751,75,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,41.49432048
4NU,4,N,Unstable,5782400,1436230,24.84000000,100.00000000,ok,-2.17949774,46.96166669,0.35677893,0.06934270,253,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,32.45023659
5AS,5,A,Stable,2386764,1121150,46.97000000,100.00000000,ok,-2.17144270,46.95946362,0.53884139,0.06104363,73,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,49.54477068
5AU,5,A,Unstable,2683017,708819,26.42000000,100.00000000,ok,-2.17962051,46.96172779,0.24408894,0.08468551,248,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,23.58293120
5NS,5,N,Stable,1865644,366701,19.66000000,100.00000000,ok,-2.17143175,46.95947471,0.27033730,0.04095913,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,25.49075535
5NU,5,N,Unstable,1865645,892498,47.84000000,100.00000000,ok,-2.17961659,46.96173793,0.36790149,0.07483314,245,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,33.41489204
6AS,6,A,Stable,2700245,1190620,44.09000000,100.00000000,ok,-2.17135731,46.95935788,0.46435187,0.03895698,74,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,42.29377721
6AU,6,A,Unstable,3665454,1521382,41.51000000,100.00000000,ok,-2.17972377,46.96182282,0.40728409,0.05743141,251,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,36.93919093
6NS,6,N,Stable,2608018,819913,31.44000000,100.00000000,ok,-2.17136803,46.95934435,0.47483761,0.05108180,74,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,43.30179990
6NU,6,N,Unstable,2607933,753292,28.88000000,100.00000000,ok,-2.17972505,46.96180951,0.21482289,0.04913804,248,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,21.57497977
